SDET用例ID,不可自动化原因,是否可自动化,期望结果,测试步骤,测试点描述,用例名称,用例描述,用例编号,目录分类,脚本名称,自动化关键步骤,预置条件
,纯UI展示校验：页面新增配置组及按钮显示属于前端渲染，不适合API自动化,否,"1.密码复杂度配置项中新增一个“802.1x认证用户进行密码校验和强制措施”配置组
2.配置组新增三个开启/关闭按钮，字段名分别是：首次登入用户强制修改密码、对未通过密码强度检测的用户进行强制处理、启用定期修改密码","1.策略-认证高级配置-密码安全管理
2.点击新增配置组“802.1x认证用户进行密码校验和强制措施”",密码安全管理页面新增配置组展示,新增配置组“802.1x认证用户进行密码校验和强制措施”展示,密码安全管理页面新增展示,RG-UNC-dot1x密码复杂度-TP-001,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-密码安全管理页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,进入认证高级配置-密码安全管理页面
,纯UI展示校验：页面新增配置组及按钮显示属于前端渲染，不适合API自动化,否,"1.展示新增配置组“802.1x认证用户进行密码校验和强制措施”
2.按钮默认关闭，开启按钮展示”强制处理方式“选框，关闭按钮隐藏”强制处理方式“选框
3..按钮默认关闭，开启按钮展示”强制处理方式“选框，关闭按钮隐藏”强制处理方式“选框
4.按钮默认关闭，开启按钮展示”强制处理方式“选框、定期修改周期输入框、提前短信通知按钮、提前短信通知时间输入框
5.关闭按钮隐藏”强制处理方式“选框、定期修改周期输入框、提前短信通知按钮、提前短信通知时间输入框","1.策略-认证高级配置-密码安全管理
2.开启""首次登入用户强制修改密码“按钮，关闭""首次登入用户强制修改密码“按钮
3.开启""对未通过密码强度检测的用户进行强制处理“按钮，关闭""对未通过密码强度检测的用户进行强制处理“按钮
4.开启""启用定期修改密码按钮“按钮，
5.关闭""启用定期修改密码按钮“按钮，",密码安全管理页面新增配置组展示,开启/关闭三种按钮，默认关闭,按钮可以正常开启/关闭并展示/隐藏对应的选择框/输入框，按钮默认关闭,RG-UNC-dot1x密码复杂度-TP-002,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-密码安全管理页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,进入认证高级配置-密码安全管理页面
,纯UI展示校验：页面新增配置组及按钮显示属于前端渲染，不适合API自动化,否,"1.展示新增配置组“802.1x认证用户进行密码校验和强制措施”
2.开启按钮展示”强制处理方式“选框，默认展示”返回认证失败“
3.勾选返回认证失败按钮成功
4.勾选返回认证失败+短信通知成功
5.开启按钮展示”强制处理方式“选框，默认展示”返回认证失败“
6.勾选返回认证失败按钮成功
7.勾选返回认证失败+短信通知成功
8.开启按钮展示”密码到期强制处理方式“选框，默认展示”返回认证失败“，展示”定期修改周期“输入框，默认为5天，展示“提前短信通知”按钮
9.勾选返回认证失败按钮成功
10.勾选返回认证失败+短信通知成功","1.策略-认证高级配置-密码安全管理
2.开启""首次登入用户强制修改密码“按钮
3.勾选返回认证失败按钮，
4.勾选返回认证失败+短信通知
5.开启""对未通过密码强度检测的用户进行强制处理“按钮
6.勾选返回认证失败按钮，
7.勾选返回认证失败+短信通知
8.开启""启用定期修改密码按钮“按钮，
9.勾选返回认证失败按钮，
10.勾选返回认证失败+短信通知",密码安全管理页面新增配置组展示,分别开启三种按钮，并正常单独勾选每个选项,"展示""强制处理方式”选框，默认展示返回认证失败及两个选项，正常勾选保存",RG-UNC-dot1x密码复杂度-TP-003,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-密码安全管理页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,"进入认证高级配置-密码安全管理页面
消息配置中已为""首次登入用户强制修改密码“配置好网关及消息模板
获取到用户的移动电话"
,纯UI展示校验：页面新增配置组及按钮显示属于前端渲染，不适合API自动化,否,"1.展示新增配置组“802.1x认证用户进行密码校验和强制措施”
2.开启按钮展示”强制处理方式“选框，默认展示”返回认证失败“，勾选返回认证失败+短信通知失败，出现未配置警告：未对接短信服务，请前往”系统管理-第三方服务对接-短信服务“完成短信服务对接，并前往”认证管理-认证系统管理-消息配置“选择对应消息通知网关。保存成功
3.开启按钮展示”强制处理方式“选框，默认展示”返回认证失败“，勾选返回认证失败+短信通知失败，出现未配置警告：未对接短信服务，请前往”系统管理-第三方服务对接-短信服务“完成短信服务对接，并前往”认证管理-认证系统管理-消息配置“选择对应消息通知网关。保存成功
4.开启按钮展示”强制处理方式“选框，默认展示”返回认证失败“，勾选返回认证失败+短信通知失败，出现未配置警告：未对接短信服务，请前往”系统管理-第三方服务对接-短信服务“完成短信服务对接，并前往”认证管理-认证系统管理-消息配置“选择对应消息通知网关。保存成功","1.策略-认证高级配置-密码安全管理
2.开启""首次登入用户强制修改密码“按钮，勾选返回认证失败+短信通知，点击保存
3.开启”对未通过密码强度检测的用户进行强制处理““按钮，勾选返回认证失败+短信通知，点击保存
4.开启""启用定期修改密码“按钮，勾选返回认证失败+短信通知，点击保存",密码安全管理页面新增配置组展示,开启三种按钮，未配置网关及短信模板，勾选返回认证失败+短信通知选项,"展示""强制处理方式”选框，勾选返回认证失败+短信通知失败，出现未配置警告",RG-UNC-dot1x密码复杂度-TP-004,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-密码安全管理页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,"进入认证高级配置-密码安全管理页面
消息配置中没有为""首次登入用户强制修改密码“配置好网关及消息模板
获取到用户的移动电话"
,纯UI展示校验：页面新增配置组及按钮显示属于前端渲染，不适合API自动化,否,"1.展示新增配置组“802.1x认证用户进行密码校验和强制措施”
2.开启按钮成功，输入5天成功，选择“返回认证失败+短信通知”成功
3.开启按钮成功，展示“提前短信通知时间”输入框，默认值为1
4.关闭按钮成功，隐藏“提前短信通知时间”输入框","1.策略-认证高级配置-密码安全管理
2.开启""启用定期修改密码“按钮-输入周期5天-选择“返回认证失败+短信通知”
3.开启“提前短信通知”按钮
4.关闭“提前短信通知”按钮",密码安全管理页面新增配置组展示,开启“提前短信通知”按钮,展示“提前短信通知时间”天，输入框,RG-UNC-dot1x密码复杂度-TP-005,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-密码安全管理页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,"开启""启用定期修改密码“按钮
消息配置中已为""启用定期修改密码“按配置好网关及消息模板"
,纯UI展示校验：页面新增配置组及按钮显示属于前端渲染，不适合API自动化,否,"1.展示新增配置组“802.1x认证用户进行密码校验和强制措施”
2.开启按钮成功，选择“返回认证失败”成功
3.开启按钮成功，选择“返回认证失败”成功
4.开启按钮成功，选择“返回认证失败+短信通知”成功，定期修改周期30天输入成功
5.开启按钮成功，提前短信通知时间3天输入成功
6.已修改好的配置无变化","1.策略-认证高级配置-密码安全管理
2.开启""首次登入用户强制修改密码“按钮，并单独勾选返回认证失败
3.开启""对未通过密码强度检测的用户进行强制处理“按钮，并单独返回认证失败
4.开启""启用定期修改密码“按钮，并单独勾选返回认证失败+短信通知，定期修改周期为30天
5.开启“提前短信通知按钮，并输入提前短信通知时间为3天
6.浏览器前进或后退",密码安全管理页面新增配置组展示,“802.1x认证用户进行密码校验和强制措施”配置好浏览器前进或后退,配置好的所有内容均无变化,RG-UNC-dot1x密码复杂度-TP-006,dot1x密码复杂度/密码安全管理页面-UI展示,不可自动化-密码安全管理页面新增配置组UI展示检查,1. 纯页面UI展示校验，不适合API自动化（需要UI自动化框架）,"进入认证高级配置-密码安全管理页面
消息配置中已为""启用定期修改密码“按配置好网关及消息模板"
,前端输入校验：定期修改周期输入框前端自动纠正行为，不适合API自动化,否,"1.展示新增配置组“802.1x认证用户进行密码校验和强制措施”
2.开启按钮成功
3.开启按钮成功，展示“定期修改周期”输入框，默认展示“请输入，范围：1-500，默认5”
4.输入参数”501""失败，自动返回500
5.输入参数”-1""失败，自动返回1
6.输入参数”2.2""失败，自动返回2
7.输入参数”？""失败，参数清空
8.输入参数”0""失败，自动返回1  
9.输入框清空成功，保存失败，定期修改周期框下方红字提示：请输入定期修改周期（1-500天）
10.输入参数”30""成功","1.策略-认证高级配置-密码安全管理
2.开启""启用定期修改密码“按钮
3.开启“提前短信通知”按钮
4.“定期修改周期”输入框输入参数“501”
5.“定期修改周期”输入框输入参数“-1”
6.“定期修改周期”输入框输入参数“2.2”
7.“定期修改周期”输入框输入参数“？
8.“定期修改周期”输入框输入参数“0”
9..“定期修改周期”输入框清空，点击保存
10.“定期修改周期”输入框输入参数“30”",定期修改周期输入参数校验,“定期修改周期”输入参数校验,输入参数类型校验【1-500】,RG-UNC-dot1x密码复杂度-TP-007,dot1x密码复杂度/密码安全管理页面-参数校验,不可自动化-前端输入框参数校验行为,1. 前端输入框边界值/格式校验，属于前端行为，不适合API自动化,"开启""启用定期修改密码“按钮"
,前端输入校验：提前短信通知时间与定期修改周期的大小比较校验，属于前端行为,否,"1.进入配置组
2.开启""启用定期修改密码“按钮成功
3.输入参数5成功，选择返回认证失败成功
4.开启”提前短信通知“按钮成功，展示默认内容”请输入，默认1“
5.输入参数2成功
6.保存成功","1.点击“802.1x认证用户进行密码校验和强制措施”配置组
2.开启""启用定期修改密码“按钮
3.”定期修改周期“输入框输入参数5，选择返回认证失败
4.开启”提前短信通知“按钮
5.“提前短信通知时间”输入框输入参数2
6.点击保存",提前短信通知时间输入参数比较,“提前短信通知时间”输入框默认内容展示，输入参数2<定期修改周期参数5（正向）,展示默认内容”请输入，默认1“输入参数成功,RG-UNC-dot1x密码复杂度-TP-008,dot1x密码复杂度/密码安全管理页面-参数校验,不可自动化-前端输入框参数校验行为,1. 前端输入框边界值/格式校验，属于前端行为，不适合API自动化,"开启""启用定期修改密码“按钮"
,前端输入校验：提前短信通知时间与定期修改周期的大小比较校验，属于前端行为,否,"1.进入配置组
2.开启""启用定期修改密码“按钮成功
3.输入参数5成功，选择返回认证失败成功
4.开启”提前短信通知“按钮成功，展示默认内容”请输入，默认1“
5.输入参数5失败，报错信息“该配置应少于定期修改周期的天数","1.点击“802.1x认证用户进行密码校验和强制措施”配置组
2.开启""启用定期修改密码“按钮
3.”定期修改周期“输入框输入参数5，选择返回认证失败
4.开启”提前短信通知“按钮
5.“提前短信通知时间”输入框输入参数5",提前短信通知时间输入参数比较,“提前短信通知时间”输入框输入参数5=定期修改周期参数5,输入参数失败，报错信息“该配置应少于定期修改周期的天数,RG-UNC-dot1x密码复杂度-TP-009,dot1x密码复杂度/密码安全管理页面-参数校验,不可自动化-前端输入框参数校验行为,1. 前端输入框边界值/格式校验，属于前端行为，不适合API自动化,"开启""启用定期修改密码“按钮"
,前端输入校验：提前短信通知时间与定期修改周期的大小比较校验，属于前端行为,否,"1.进入配置组
2.开启""启用定期修改密码“按钮成功
3.输入参数5成功，选择返回认证失败成功
4.开启”提前短信通知“按钮成功，展示默认内容”请输入，默认1“
5.输入参数6失败，报错信息“该配置应少于定期修改周期的天数","1.点击“802.1x认证用户进行密码校验和强制措施”配置组
2.开启""启用定期修改密码“按钮
3.”定期修改周期“输入框输入参数5，选择返回认证失败
4.开启”提前短信通知“按钮
5.“提前短信通知时间”输入框输入参数6",提前短信通知时间输入参数比较,“提前短信通知时间”输入框输入参数6>定期修改周期参数5,输入参数失败，报错信息“该配置应少于定期修改周期的天数,RG-UNC-dot1x密码复杂度-TP-010,dot1x密码复杂度/密码安全管理页面-参数校验,不可自动化-前端输入框参数校验行为,1. 前端输入框边界值/格式校验，属于前端行为，不适合API自动化,"开启""启用定期修改密码“按钮"
